,dist_bin,commodty,use_rate_bin,sum_wt,Ur,Ut0,Ut1,pt0,pt1
230,600,"""25""",100,377.575,-0.626186452673,2.16324714,2.48374508,0.942102157385,0.957300557185
231,600,"""26""",100,4483.2623054,-2.29226201185,-3.16893066,-1.97632652,0.293868592187,0.57833338226
232,600,"""26""",1000,600.0,-22.9226201185,-52.2903066,-40.3642652,1.7610667395e-13,2.66188797441e-08
233,600,"""27""",100,6535.43055821,-3.20157287978,-3.17559256,-1.61006832,0.506494714634,0.830827678799
234,600,"""27""",1000,1800.0,-32.0157287978,-67.6569256,-52.0016832,3.32066374357e-16,2.09030801906e-09
235,600,"""27""",8000,11700.0,-256.125830382,-569.1784048,-443.9364656,1.10406434494e-136,2.72193332191e-82
236,600,"""31""",100,2385.46187829,-2.43634210222,-3.10962756,-1.66383832,0.337761562645,0.684062263071
237,600,"""31""",1000,1056.0,-24.3634210222,-62.6592756,-48.2013832,2.33518706899e-17,4.43919851319e-11
238,600,"""31""",2000,2400.0,-48.7268420444,-128.8255512,-99.9097664,1.63520650515e-35,5.90933192332e-23
239,600,"""31""",8000,21984.0,-194.907368178,-525.8232048,-410.1600656,1.92787193234e-144,3.28807181712e-94
240,600,"""32""",100,1381.63123906,-0.361786654289,1.27608634,1.46944748,0.837245307572,0.861908681708
241,600,"""33""",100,850.0,-3.40140496315,-1.61883346,-0.47934812,0.856014104104,0.948926076859
242,600,"""33""",2000,4410.0,-68.028099263,-100.7006692,-77.9109624,6.46372940132e-15,5.10393232812e-05
243,600,"""37""",100,115.484615385,-41.90958663,-48.574662,-37.202014,0.00127303786026,0.99105408965
244,600,"""41""",100,1001.78461996,-0.400568012156,1.99691884,2.23926248,0.916635462558,0.93338142511
245,600,"""41""",1000,963.446,-4.00568012156,-7.9848116,-5.5613752,0.0183585362136,0.17426524336
246,600,"""41""",2000,1890.0,-8.01136024312,-19.0756232,-14.2287504,1.56619145283e-05,0.00199047372814
247,800,"""02""",100,21786.6129196,-1.38276328037,-2.97245152,-1.86996052,0.169427763954,0.380554048279
248,800,"""02""",1000,40710.322,-13.8276328037,-47.9405152,-36.9156052,1.53095848274e-15,9.39768729443e-11
249,800,"""02""",2000,71883.35,-27.6552656073,-97.9050304,-75.8552104,3.09681167449e-31,1.16689008181e-21
250,800,"""02""",8000,70756.734,-110.621062429,-397.6921216,-309.4928416,2.12140255718e-125,4.27645296602e-87
251,800,"""02""",25000,177725.112,-345.690820091,-1247.08888,-971.46613,0.0,1.69525875297e-272
252,800,"""02""",50000,98200.632,-691.381640183,-2496.20176,-1944.95626,0.0,0.0
253,800,"""02""",100000,548060.7465,-1382.76328037,-4994.42752,-3891.93652,0.0,0.0
254,800,"""03""",100,2886.426502,-0.168047487967,2.94800768,3.04663868,0.957550168352,0.961383218642
255,800,"""03""",2000,4895.6325,-3.36094975934,-5.5448464,-3.5722264,0.101205925449,0.447376444422
256,800,"""03""",8000,11275.935,-13.4437990374,-32.3643856,-24.4739056,6.06587782589e-09,1.6206101208e-05
257,800,"""04""",100,1402.7935,-2.71024264113,-5.75336192,-3.86580092,0.0455154651585,0.239475305633
258,800,"""04""",1000,570.0,-27.1024264113,-82.7426192,-63.8670092,6.85127342299e-25,1.07980308868e-16
259,800,"""05""",100,2429.65153032,-0.483237152057,4.02480288,4.41827388,0.989100079592,0.992619536709
260,800,"""05""",1000,600.0,-4.83237152057,-12.0239712,-8.0892612,0.000752317376421,0.0370801040624
261,800,"""05""",8000,7300.0,-38.6589721646,-136.8477696,-105.3700896,2.27586810294e-43,1.06593277554e-29
262,800,"""06""",100,2617.87453271,-0.228572799386,1.48816608,1.65582708,0.847708306369,0.868115688751
263,800,"""07""",100,6433.49719866,-0.459808913591,1.81018128,2.10449478,0.906360955488,0.928528592075
264,800,"""07""",1000,3729.91578947,-4.59808913591,-10.1941872,-7.2510522,0.0036985903768,0.0658066173259
265,800,"""07""",2000,4671.281,-9.19617827182,-23.5323744,-17.6461044,5.94112749101e-07,0.000213870466803
266,800,"""07""",8000,11252.0,-36.7847130873,-103.5614976,-80.0164176,9.98184833512e-30,1.67768061658e-19
267,800,"""07""",25000,20546.812,-114.952228398,-330.31068,-256.732305,2.95809990779e-94,2.66498695684e-62
268,800,"""11""",100,3006.56201538,-0.494854787559,1.35047808,1.73166408,0.863578196359,0.902605766149
