,,0,1
"(30.0860459, -94.1018461)","(43.542207, -89.1073356)",17 hours 32 mins,1148.125
"(30.0929879, -93.7365549)","(43.0349931, -87.922497)",16 hours 52 mins,1170.0
"(30.0929879, -93.7365549)","(43.5324809, -90.0026259)",17 hours 48 mins,1170.0
"(30.0929879, -93.7365549)","(44.0206919, -88.5408574)",18 hours 9 mins,1253.75
"(30.1010324, -90.9928774)","(35.3738712, -119.0194639)",1 day 4 hours,1912.5
"(30.1010324, -90.9928774)","(39.3047907, -102.2692394)",16 hours 51 mins,1173.75
"(30.1463235, -94.6424197)","(39.00871, -87.7523336)",13 hours 44 mins,895.0
"(30.1600827, -85.6545729)","(43.2286174, -88.1103691)",16 hours 9 mins,1046.875
"(30.1830498, -96.9366112)","(34.6381255, -99.3339754)",5 hours 50 mins,390.0
"(30.2050097, -91.1498876)","(35.6385545, -99.0001085)",11 hours 4 mins,745.625
"(30.2050097, -91.1498876)","(35.8970899, -98.4225961)",10 hours 46 mins,721.875
"(30.2121749, -82.6484571)","(39.783235, -97.894926)",19 hours 9 mins,1312.5
"(30.2265949, -93.2173759)","(35.2273656, -80.5006219)",13 hours 26 mins,928.75
"(30.2265949, -93.2173759)","(35.4119944, -99.4042592)",9 hours 32 mins,621.875
"(30.2265949, -93.2173759)","(39.4667025, -87.4139119)",13 hours 1 min,901.25
"(30.2268315, -91.0728284)","(30.820742, -88.0705556)",3 hours 14 mins,217.5
"(30.2268315, -91.0728284)","(43.7486054, -87.977038)",15 hours 41 mins,1076.875
"(30.2268315, -91.0728284)","(43.8424502, -88.8372972)",16 hours 6 mins,1096.875
"(30.2300936, -91.07613)","(30.820742, -88.0705556)",3 hours 14 mins,217.5
"(30.2300936, -91.07613)","(35.3738712, -119.0194639)",1 day 4 hours,1901.25
"(30.2300936, -91.07613)","(42.6829765, -89.0226793)",14 hours 31 mins,1007.5
"(30.2300936, -91.07613)","(42.7755645, -88.943999)",14 hours 38 mins,1013.75
"(30.2300936, -91.07613)","(43.0962919, -89.5119565)",15 hours 13 mins,1055.0
"(30.2606006, -93.3347064)","(35.2273656, -80.5006219)",13 hours 35 mins,936.25
"(30.2606006, -93.3347064)","(38.2129325, -86.125386)",13 hours 13 mins,902.5
"(30.2606006, -93.3347064)","(43.0349931, -87.922497)",16 hours 32 mins,1143.125
"(30.2613062, -91.2184404)","(35.3738712, -119.0194639)",1 day 4 hours,1895.0
"(30.2613062, -91.2184404)","(39.4667025, -87.4139119)",11 hours 32 mins,791.875
"(30.2613062, -91.2184404)","(42.6829765, -89.0226793)",14 hours 33 mins,1006.875
"(30.2890833, -91.2342744)","(38.8428256, -86.9913959)",11 hours 30 mins,794.375
